Course_Code,Course_Title,L-T-P-S-C,Faculty,Is_Combined,Semester_Half,Elective,Students,ElectiveBasket
MA163,Linear Algebra,3-1-0-0-2,Dr. Anand Barangi,1,0,0,83,0
CS162,Optimization,3-1-0-0-2,Dr. Dibyajyoti Guha,0,0,0,83,0
CS163,Data Structures and Algorithms,3-0-2-0-4,Dr. Prabhu Prasad,1,0,0,132,0
CS164,Computer Architecture,3-0-2-0-2,Dr. Jagdish D.N,0,0,0,0,0
EC162,Network Analysis,3-0-0-0-3,Dr. Somen Bhattacharjee,1,0,0,0,0
