Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,ElectiveBasket
DS308,Data Security and Privacy,3-1-0-0-4,Dr. Girish Revadigar,0,0,0,0
DA263,Big Data Analytics,3-1-0-0-4,Dr. Animesh Chaturvedi,0,0,85,0
DA264,Database Management and Warehousing,3-1-0-0-4,Dr. Utkarsh,0,0,85,0
CS261,Operating Systems,3-1-0-0-2,Dr. Siddharth R,0,0,0,0
