Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,ElectiveBasket
EC264,Analog and Digital Communication,3-1-0-0-4,Dr. Somen Bhattacharjee,0,0,-1,0
EC265,Linear Integrated Circuits,1-0-2-0-2,Dr. Rajesh Kumar,0,0,-1,0
EC266,Control System,3-1-0-0-4,Dr. Pankaj Kumar,0,0,-1,0
EC267,Digital Signal Processing,3-1-0-0-4,Dr. Sibasankar Padhy,0,0,-1,0
EC268,Embedded System Design,3-1-0-0-4,Dr. Prakash Pawar,0,0,-1,0
EC301,Introduction to VLSI Design,3-1-0-0-4,Dr. Jagadish D.N,0,0,-1,0
