Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,ElectiveBasket
MA163,Linear Algebra,3-1-0-0-2,Dr. Anand Barangi,0,0,132,0
CS162,Optimization,3-1-0-0-2,Dr. Dibyajyoti Guha,0,0,132,0
CS163,Data Structures and Algorithms,3-0-2-0-4,Dr. Sunil Saumya,0,0,132,0
CS164,Computer Architecture,3-0-2-0-2,Dr. Manjunath K V,0,0,132,0
DS164,Data Curation Techniques,2-0-2-0-3,Dr. Ramesh Athe,0,0,132,0
